,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#0E0D0B,#3B2517,#725229,#C41C0F,#470A0F,#720B0F,#FFFFFF,#A87420,#141533,#3B3F89,#E2A83C,#BE5262
occurence,283750,154602,85061,52481,46598,41511,17795,14809,14350,9536,6293,6158
