,c_code,occurence
0,#65A0BE,7236522
1,#424647,2550068
2,#0E171E,1643602
3,#6C777D,366470
4,#A3DCF9,321863
5,#DEE2E1,51559
6,#2D5B75,19058
7,#ABA7A8,3301
