,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#44453F,#777870,#FFFFF6,#ADAEA8,#000100,#EED0DA,#A58695,#FFCCAD,#38222E,#CD9387,#6B586B,#795549
occurence,5639745,3608777,1349523,1286492,185843,40465,35208,16196,9782,6678,4920,3022
