,c_code,occurence
0,#C73A4D,3951789
1,#26260E,3371247
2,#BCB7B1,1683085
3,#3B4D13,953944
4,#524B41,923631
5,#8A2934,547960
6,#748479,254928
7,#83545E,173199
8,#EE778D,80406
9,#D99323,63109
10,#617B4C,42053
11,#9D7E69,35998
