,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#313419,#9D8279,#E9E239,#CBD8F8,#50574F,#A5B8B6,#FFFFFF,#6C5533,#D9D862,#C8B396,#7A7636,#ECBC74
occurence,4218818,3108498,2576699,1094253,450339,274673,170661,78118,53118,47996,32160,22933
