,c_code,occurence
0,#313419,4218818
1,#9D8279,3108498
2,#E9E239,2576699
3,#CBD8F8,1094253
4,#50574F,450339
5,#A5B8B6,274673
6,#FFFFFF,170661
7,#6C5533,78118
8,#D9D862,53118
9,#C8B396,47996
10,#7A7636,32160
11,#ECBC74,22933
