,0,1,2,3,4,5,6,7,8,9,10
c_code,#E3787E,#4E5A6A,#92505A,#90A1B5,#F5A4B5,#FFD3E0,#C8D6E1,#8D717F,#202C38,#5B3B4A,#591522
occurence,5562194,3979529,1314872,991481,278313,21332,14005,12869,9465,6911,1794
