,0,1,2,3,4,5,6,7,8,9,10
c_code,#989083,#FBFFFC,#12202D,#C1475E,#655D52,#CEC6B9,#822B3B,#AB6472,#402C2B,#E4ABB4,#470E17
occurence,7914708,1165317,1123432,1002480,758589,127276,54164,19941,19080,6290,1477
