,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#D9D7CB,#625F58,#959289,#804547,#323232,#D48253,#CFB18D,#C5878A,#9A6F4F,#340000,#040000,#864422
occurence,5815871,5594466,346010,233321,77654,76428,41890,5021,1813,190,81,21
