,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#09080E,#582B4C,#B754C8,#FF6DFE,#8A3586,#FF93FF,#382E25,#A348E1,#FFFFFF,#787355,#C57CC3,#FFB9FF
occurence,6684220,1665977,1130378,1124868,943714,171682,85617,66817,61198,44897,44555,29460
