,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#83AE78,#5F5F5D,#FFFFF8,#020403,#D3B078,#C4C6C1,#778973,#7C6039,#517947,#294423,#D1E7C3,#32322A
occurence,7559370,2045108,1256903,363443,311781,304391,272687,54963,18020,2608,1904,1558
