,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#4C5657,#00070D,#929383,#AFE6FA,#FFFFFF,#94B0BC,#FEFFD5,#0C2F0E,#E0DB89,#EDA417,#AB9F6B,#6A5A38
occurence,3438996,2655898,2292840,2190012,965036,392867,60803,33380,31817,28295,15574,15081
