,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#010204,#268CD6,#67C1DC,#3F4344,#02224B,#0468C8,#CEDEDB,#8F8F91,#FDFF8D,#9F6148,#E3B2B6,#C55933
occurence,4200044,2785734,1538980,1118540,577397,500011,326569,236197,114853,97230,96912,88836
