,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#492C28,#784E36,#CB8D68,#8B7874,#FFFFFF,#0E0000,#D1AD9D,#3D3310,#C5A052,#938459,#4C5844,#ACB9CA
occurence,1386518,592170,271531,72708,35618,26125,24538,7015,5175,4554,3982,2243
