,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#2F081D,#D0011F,#63334B,#731B29,#4D165A,#551B94,#FFFFAD,#806683,#A41C2A,#FEFFFF,#7F6DFF,#FF6549
occurence,4587445,1898162,1716499,1445844,581392,316362,267929,211649,206786,190498,171500,137292
