,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#8E6A5C,#4A3429,#DCAB73,#889EB5,#E5B026,#C2A899,#A2703F,#FFFFFD,#984E41,#FFFEBB,#FEEE29,#B7631A
occurence,6407056,2898363,1509790,437634,256908,242081,147491,59053,41808,29117,27789,24182
