,0,1,2,3,4,5,6,7,8,9
c_code,#CC311F,#44494D,#A49EA0,#7C2B18,#D7D8D3,#141215,#592A22,#96534B,#C95353,#816766
occurence,905174,563314,498287,352365,75309,24851,9935,3674,449,154
