,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#248C4D,#2F574F,#D4F5FE,#1D2B36,#93A1A2,#41856C,#DCFFE1,#96C5A1,#1F5C30,#002113,#6C6C6C,#ACFDC5
occurence,4873499,3958511,1714918,643865,470699,364754,90324,40310,24509,10298,917,102
