,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#94908D,#393E28,#5A5420,#A69A24,#CD986E,#D0C3BB,#FFFFFD,#977335,#D1DAAF,#D28533,#210F03,#5C5F64
occurence,4495608,2362407,1587070,1102424,758095,484868,481061,225071,205542,122508,85442,63275
