,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#0B1121,#584B38,#AF945F,#83847E,#C07AD0,#40292F,#FF91FF,#FFFFFF,#C3C0AF,#462248,#6B377F,#2B4846
occurence,3667950,1687519,273217,265653,196683,169634,145006,122507,101143,100258,89259,58800
