,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#060606,#83867F,#4A4B45,#B9D2CC,#11213B,#28487B,#DE4D14,#FFF7FF,#662F2C,#C44B36,#96A8BC,#4F6177
occurence,3736656,2669395,2198239,1884519,980361,313711,132954,70135,43347,37501,32714,27257
