,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#424242,#7F7870,#D3C5A2,#FEFFFD,#C0A94C,#B6BFBE,#8A7644,#006AF2,#2057B4,#8CEA3C,#89A278,#6A7595
occurence,6267110,2913228,1352359,326375,315389,282209,221581,196688,112937,67145,38887,28700
