,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#423B28,#CCC6A6,#FDFF8F,#9A8F71,#656160,#B7AE49,#DFC683,#AB8D4F,#755433,#1D1000,#FDFFFA,#463C00
occurence,7394707,2125345,1488826,911325,72967,46131,42327,41395,20810,19868,12035,9874
