,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#3F3653,#6D5D6A,#9B5672,#FFFFFD,#B43A5F,#A08C8D,#F00142,#E63665,#CEC6BB,#E88194,#DD4592,#F7BEC5
occurence,7990475,1226047,934314,856630,434904,350989,236248,51346,34708,27387,11179,10391
