,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#795920,#080806,#382B1A,#B6AB97,#737165,#B18B40,#97695A,#5C1A1C,#FEFFFD,#E6DBAE,#9AABC5,#8A2422
occurence,5556185,3144438,1638375,1041448,384216,236442,78503,61157,15644,12133,8432,4311
