,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#373737,#866A55,#222641,#4E668C,#8E8E9A,#FFFFFD,#436CC8,#AFC9C6,#70B0C9,#B9AE8E,#A48042,#523D22
occurence,3677664,2716836,2616361,911272,791731,252863,192158,186310,178651,140361,115147,58310
