,0,1,2,3,4,5,6,7,8,9
c_code,#D43F29,#342625,#9C3524,#5E2D26,#4B3F15,#9F9593,#AB5B52,#5D5552,#C78E85,#807B55
occurence,1914259,392529,69040,29665,18924,5733,2210,1012,135,85
