,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#595963,#908684,#FFFFFF,#E8A6C1,#80AFB7,#2F2F2D,#E3B077,#82614E,#C9EFD6,#D38030,#FEFFB3,#CBCA9C
occurence,7200563,2749431,436291,306729,279787,237258,156060,146803,137770,137137,99628,78714
