,0,1,2,3,4,5,6,7,8,9
c_code,#BE99A0,#8F646B,#534044,#EBD9B3,#FAF4F4,#B29C75,#614F2B,#80807E,#42151C,#1C1316
occurence,1282708,150433,26098,12985,2358,1124,90,12,10,1
