,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#403728,#755735,#E5A61B,#C7A589,#AE7C4B,#D08532,#FFFFFF,#FFFF2B,#FFFF8B,#FFD83B,#905A04,#FFFEC5
occurence,6691381,2867483,938801,712833,248279,212833,157558,82253,77048,65742,55423,30784
