,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#C9BFA6,#666A6B,#FEFFFD,#283138,#000100,#938970,#524733,#FFEDAB,#FBE170,#381B00,#C9B070,#82622F
occurence,8426910,3516554,130899,38981,28458,27337,21163,1460,720,131,73,50
