,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#423429,#D0974A,#7E5C39,#445B53,#465E8C,#FFFFFF,#75A0D7,#6D908C,#D5BA85,#ACDAFB,#0E1915,#B7AF9C
occurence,1165518,385106,334593,219965,135948,62925,57028,33685,17726,6893,5431,2456
