,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#34526C,#D8AF6F,#BCC8D6,#737A82,#0C264B,#70425C,#F1FFFF,#99746E,#080000,#68A1AC,#CB99B6,#4A3D34
occurence,3516117,1077901,1039375,487903,150549,61198,49071,34393,33634,32773,29536,24817
