,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#545351,#4C3820,#8A5448,#FFFFFF,#878173,#B58561,#C43E3B,#91481D,#F2C689,#5B627F,#DF9E1E,#FFFFD1
occurence,5503231,1285581,1039328,691826,669883,567613,398150,271370,215567,192467,170098,169401
