,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#352F21,#885B5E,#E891B3,#99945C,#070709,#562C2E,#6D6540,#9A415D,#FFC5DB,#C8CFA6,#BF8E92,#FFFFFF
occurence,7209895,2455541,1633528,244945,192107,104488,82167,71902,64519,55408,42989,26739
