,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#544A49,#0050F1,#434B70,#8B7869,#FEFFFF,#8088AC,#B58851,#0030B0,#D29332,#366CF0,#6074D5,#ADE2FF
occurence,3922401,2940260,2020981,840692,758129,283914,234440,227358,212220,209737,133025,107960
