,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#918168,#A17F35,#32332E,#070B16,#C7BA8D,#695824,#D2AC47,#3E290C,#FAE29A,#8CA063,#60625F,#FCF7D7
occurence,689060,479918,478080,397656,259657,81455,37163,6111,1768,1343,1097,188
