,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#7A393D,#D2A13A,#CAD5E7,#B46B74,#4C4A4F,#817D8C,#B1AAA2,#9B7739,#725945,#E6C578,#452528,#CC9F76
occurence,1861379,353990,91556,55170,25657,13559,12016,6403,6008,5493,985,464
