,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#514644,#BBAF97,#6D4C2B,#727483,#1B1718,#FFFFFF,#BC4D1F,#AD7640,#E18240,#C93B53,#4D232F,#3F8F8C
occurence,5879077,2490790,658749,610284,569370,502422,372186,159135,114891,81153,78104,65771
