,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#DDC088,#4B6C97,#464742,#A78F69,#0C0C0E,#735A32,#929C91,#3A240F,#FFFFFF,#7E9DBC,#1C2E44,#D2CAB3
occurence,1073783,848435,289312,96795,73689,20744,19034,5181,5118,968,371,123
