,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#6A5D57,#A07759,#A9A29C,#FEFFF3,#C4B186,#51321E,#FFFFA3,#87521E,#DA0D12,#982A00,#333132,#B88F4D
occurence,7573386,1758900,1048748,488943,345521,168836,168579,142599,135356,90188,89026,66477
