,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#B7C3D1,#1C3C8F,#565864,#78475D,#2D2437,#858C9E,#354C82,#CDB593,#FFFFFF,#726441,#6C80B5,#A97C90
occurence,265734,247429,238244,170149,77208,24038,19228,6218,1456,1324,118,33
