,0,1,2,3,4,5,6,7,8,9,10,11
c_code,#555450,#8E8073,#FFFFFF,#6E5738,#C0B790,#D0A34E,#9CBCAF,#231E1B,#F2C242,#7CB7F3,#A8875A,#9C5845
occurence,8212892,1137522,447809,361628,347979,336405,326240,294168,125679,111167,79618,75118
